Time,Temperature(c),Humidity(%),Air Quality(μg/m3)
03-23-2023_14:08:52,16.7,68.4,127.53139500106816
03-23-2023_14:09:02,16.7,68.5,86.60264595477157
03-23-2023_14:09:13,16.7,68.6,127.02137943662832
03-23-2023_14:09:26,16.7,68.6,126.2776067384869
03-23-2023_14:09:37,16.7,68.6,125.40633014923553
03-23-2023_14:09:47,16.6,68.7,93.95537034211249
03-23-2023_14:09:58,16.6,68.7,127.46764305551318
03-23-2023_14:10:08,16.6,68.7,127.68014954069645
03-23-2023_14:10:19,16.6,68.7,125.04506912442397
03-23-2023_14:10:29,16.6,68.8,112.84719687490464
03-23-2023_14:10:40,16.6,68.8,82.01250587481309
03-23-2023_14:10:50,16.6,68.8,80.80121890926848
03-23-2023_14:11:01,16.6,68.8,86.92140568254646
03-23-2023_14:11:11,16.6,68.7,124.66255745109409
03-23-2023_14:11:22,16.6,68.7,102.15812067018646
03-23-2023_14:11:33,16.6,68.7,126.83012359996339
03-23-2023_14:11:43,16.6,68.7,127.5526456495865
03-23-2023_14:11:54,16.6,68.8,123.77003021332438
03-23-2023_14:12:04,16.6,68.7,102.92314401684622
03-23-2023_14:12:15,16.6,68.8,80.77996826075015
03-23-2023_14:12:25,16.6,68.8,121.8362211981567
03-23-2023_14:12:36,16.6,68.8,126.10760155034029
03-23-2023_14:12:46,16.6,69.0,126.2776067384869
03-23-2023_14:12:57,16.6,68.9,106.74826075014498
03-23-2023_14:13:07,16.6,68.8,100.94683370464189
03-23-2023_14:13:18,16.6,69.0,101.3718466750084
03-23-2023_14:13:29,16.6,69.0,127.02137943662832
03-23-2023_14:13:39,16.6,69.0,121.66621601001007
03-23-2023_14:13:50,16.6,69.1,86.60264595477157
03-23-2023_14:14:00,16.6,69.3,126.36260933256021
03-23-2023_14:14:13,16.6,69.3,127.1701339762566
03-23-2023_14:14:24,16.6,69.4,82.41626819666128
03-23-2023_14:14:34,16.6,69.5,97.63173253578297
03-23-2023_14:14:47,16.5,69.4,125.30007690664388
03-23-2023_14:14:58,16.6,69.4,85.34885769219032
03-23-2023_14:15:09,16.6,69.4,82.03375652333142
03-23-2023_14:15:19,16.6,69.6,80.56746177556688
03-23-2023_14:15:30,16.6,69.6,82.01250587481309
03-23-2023_14:15:40,16.6,69.3,80.43995788445693
03-23-2023_14:15:53,16.5,69.2,82.84128116702782
03-23-2023_14:16:04,16.5,69.4,82.52252143925291
03-23-2023_14:16:14,16.6,69.7,127.14888332773829
03-23-2023_14:16:25,16.5,69.7,127.76515213476974
03-23-2023_14:16:35,16.5,69.7,80.7374669637135
03-23-2023_14:16:46,16.5,69.7,81.20498123111668
03-23-2023_14:16:57,16.5,69.7,82.5862733848079
03-23-2023_14:17:07,16.5,69.7,85.83762260811184
03-23-2023_14:17:18,16.5,69.7,84.77509018219551
03-23-2023_14:17:28,16.6,69.8,114.92976042970062
03-23-2023_14:17:41,16.6,69.8,108.34205938901943
03-23-2023_14:17:52,16.6,69.9,114.20723838007751
03-23-2023_14:18:05,16.6,69.9,111.74216315195164
03-23-2023_14:18:15,16.6,70.0,128.08391186254465
03-23-2023_14:18:26,16.6,70.1,79.84493972594379
03-23-2023_14:18:36,16.6,70.3,117.75609668263802
03-23-2023_14:18:47,16.6,70.3,126.06510025330365
03-23-2023_14:18:58,16.6,70.2,126.5113638721885
03-23-2023_14:19:08,16.6,70.4,80.248702047792
03-23-2023_14:19:19,16.6,70.4,128.33891964476456
03-23-2023_14:19:29,16.6,70.5,79.33492416150396
03-23-2023_14:19:40,16.6,70.4,127.87140537736137
03-23-2023_14:19:50,16.7,70.6,79.48367870113225
03-23-2023_14:20:01,16.7,70.6,81.03497604297007
03-23-2023_14:20:14,16.7,70.6,86.85765373699148
03-23-2023_14:20:24,16.6,70.6,114.12223578600421
03-23-2023_14:20:35,16.7,70.6,115.01476302377392
03-23-2023_14:20:46,16.7,70.7,89.34397961363568
03-23-2023_14:20:56,16.7,70.7,97.24922086245309
03-23-2023_14:21:07,16.7,70.7,125.00256782738731
03-23-2023_14:21:17,16.7,70.5,90.38526139103367
03-23-2023_14:21:28,16.7,70.3,94.3591326639607
03-23-2023_14:21:38,16.7,70.3,79.58993194372387
03-23-2023_14:21:49,16.6,70.1,126.1926041444136
03-23-2023_14:21:59,16.7,70.4,95.84667806024355
03-23-2023_14:22:10,16.7,70.3,112.59218909268472
03-23-2023_14:22:20,16.7,70.3,79.07991637928404
03-23-2023_14:22:31,16.7,70.4,128.67893002105777
03-23-2023_14:22:41,16.7,70.4,128.5301754814295
